CP ID,Project Number,Project Category,Project Type,Project Name,Project Location,Description,Justification,Council District,Plan Cost,Estimated Cost,Actual Cost,Project Cost,Percent Spent,Estimated Start,Estimated End,Actual Start,Actual End,Status,Notes,Project SubType,Priority,Phase,PPA Number,x Coordinate,y Coordinate,Latitude,Longitude,Map URL,Mapped Location
103,,Bikeway,Buffered Bike Lane,Shelby Avenue,Shelby Avenue from I-24 to South 4th Street,New Buffered Bike Lane,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise",06,0.00,0.00,8151.65,8151.65,100,,,01/01/2015,12/31/2015,Complete,New_BBL_BW,New,Medium,Complete,899-03014,1742897.48556062,668275.10567197,36.16679353,-86.76430146,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/103?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.16679353, -86.76430146)"
5366,,Bikeway,Bike Lane,Horton Ave From 18th Ave S To 16th Ave S,Horton Ave From 18th Ave S To 16th Ave S,New bike Lane,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise",17,6200.00,6200.00,0.00,6200.00,0,2017,2017,01/01/2017,,Complete,New bike Lane under construction,New,Medium,Complete,1058-03013,1734160.53854092,658862.9358417,36.1407548,-86.79364635,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/5366?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.1407548, -86.79364635)"
91,,Bikeway,Bike Lane,Oakes Drive,Oakes Drive from Old Hickory Boulevard to Fox Ridge Drive,New Bike Lane,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise",04,0.00,0.00,3664.00,3664.00,100,,,01/01/2015,12/31/2015,Complete,New_BL_BW,New,Medium,Complete,899-03014,1739753.03603477,621618.10294115,36.03855506,-86.77370553,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/91?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.03855506, -86.77370553)"
6698,,Sidewalk,Sidewalk Repairs,Nolensville Pike,NOLENSVILLE PIKE From NORTHCREST DR To MCMURRAY DR,"Sidewalk Repairs - The work will include the removal of sidewalk, driveway ramps, and/or curb ramps and replaced within ADA regulations.",To address the identified damaged sidewalk and/or non-ADA complaint sidewalk within the referenced limits.,"27,30",0.00,24837.00,0.00,24837.00,0,,,,,Planned,Sidewalk repairs will require local traffic control measures during construction. The sidewalk repairs will be constructed within ADA regulations.,Maintenance/Repairs,Medium,Ready for Construction,1518-02220,1756289.2054735,631651.3211409,36.06647536,-86.71802952,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6698?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.06647536, -86.71802952)"
5324,PV-SPR-18453,Paving,Paving,SILAS DR - OLD MATTHEWS RD - COMBS DR,SILAS DR - OLD MATTHEWS RD - COMBS DR,ROADWAY RESURFACING PAVING PROJECT ON 'SILAS DR',"BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",02,12750.00,20902.91,14580.18,14580.18,0,2017,2017,,11/20/2017,Complete,PAVING PROJECT: 'SILAS DR - OLD MATTHEWS RD - COMBS DR',New,Low,Complete,355-02017,1735585.0555125,686473.14000581,36.21662856,-86.78957651,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/5324?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.21662856, -86.78957651)"
2085,PV-SP-18410,Paving,Paving,SHELBY ST - SCENIC VIEW RD - 300' SW OF INTERSECTION,SHELBY ST From SCENIC VIEW RD To 300ft SW OF INTERSECTION,ROADWAY RESURFACING PAVING PROJECT ON 'SHELBY ST',"BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",11,22950.00,0.00,0.00,22950.00,100,2016,2016,,11/29/2016,Complete,PAVING PROJECT: 'SHELBY ST - SCENIC VIEW RD - 300' SW OF INTERSECTION',New,Low,Complete,393-02016,1770397.52432082,706939.68079674,36.27355544,-86.67203747,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/2085?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.27355544, -86.67203747)"
5696,PV-SUM-18629,Paving,Paving,MCPHERSON DR - DEAD END - HARPETH PW W,MCPHERSON DR - DEAD END - HARPETH PW W,ROADWAY RESURFACING PAVING PROJECT ON 'MCPHERSON DR',"BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",35,85850.00,77129.00,75831.35,75831.35,0,,,06/04/2019,07/01/2019,Complete,PAVING PROJECT: 'MCPHERSON DR - DEAD END - HARPETH PW W',New,Low,Complete,1061-01018,1693130.08333333,629838,36.06003196,-86.9316614,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/5696?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.06003196, -86.9316614)"
153,,Bikeway,Buffered Bike Lane,46th Avenue North,46th Avenue North from Park Avenue to Wyoming Avenue,New Buffered Bike Lane,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise",24,0.00,0.00,17283.00,17283.00,100,,,01/01/2015,12/31/2015,Complete,New_BBL_BW,New,Medium,Complete,899-03014,1719889.04917698,661727.11075729,36.14828798,-86.84205595,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/153?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.14828798, -86.84205595)"
214,,Bikeway,Buffered Bike Lane,Tusculum Road Bike Lanes,Tusculum Road from Colemont Drive to Blue Hole Road,New Buffered Bike Lane,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise","27, 30, 31",49075.00,49075.00,49075.00,49075.00,100,,,01/01/2015,12/31/2015,Complete,New_BBL_BW,New,Medium,Complete,317-03014,1765398.55172112,626623.19256311,36.05282197,-86.68691523,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/214?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.05282197, -86.68691523)"
6701,,Sidewalk,Sidewalk Repairs,Nolensville Pike,NOLENSVILLE PIKE From WALLACE RD To FLORA MAXWELL RD,"Sidewalk Repairs - The work will include the removal of sidewalk, driveway ramps, and/or curb ramps and replaced within ADA regulations.",To address the identified damaged sidewalk and/or non-ADA complaint sidewalk within the referenced limits.,"27,30",0.00,105737.00,0.00,105737.00,0,,,,,Planned,Sidewalk repairs will require local traffic control measures during construction. The sidewalk repairs will be constructed within ADA regulations.,Maintenance/Repairs,Medium,Ready for Construction,1518-02220,1754142.74946394,635543.80952201,36.07712446,-86.7253895,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6701?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.07712446, -86.7253895)"
6639,,Sidewalk,Sidewalk Repairs,Harding Pike,HARDING PIKE From WOODMONT BLVD To KENNER AVE,Sidewalk Repairs - The work will consist of replacing driveway ramps and curb ramps on the east side of Harding Pike.  All repairs to be to ADA standards.,To address ADA compliant issues within referenced limits.,24,0.00,0.00,0.00,0.00,0,09/01/2020,09/25/2020,09/03/2020,,In Progress,Driveway ramps and curb ramps replacement in progress,Maintenance/Repairs,Medium,Under Construction,1345-02018,1718223.84699201,653252.67078229,36.12497685,-86.84745229,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6639?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.12497685, -86.84745229)"
6707,,Sidewalk,Sidewalk Repairs,White Bridge Pike,WHITE BRIDGE PIKE From HARDING PIKE To POST RD,Sidewalk Repairs - The work will include removal of non-ADA compliant curb ramps and driveway ramps and replaced within ADA regulations.,To address ADA compliant issues within referenced limits.,24,0.00,0.00,0.00,0.00,0,09/14/2020,09/25/2020,09/09/2020,,In Progress,The driveway ramps and curb ramp replacements are complete,Maintenance/Repairs,Medium,Under Construction,1345-02018,1716912.3664803,654358.28677936,36.1279826,-86.85192539,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6707?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.1279826, -86.85192539)"
6725,,Sidewalk,Sidewalk Repairs,Powell Avenue,POWELL AVE From THOMPSON LN To SIDCO DR,Sidewalk Repairs - The work will include removal of non-ADA compliant curb ramps and driveway ramps on the west side of Powell Avenue and replaced within ADA regulations.,To address ADA compliant issues within referenced limits.,"16,17,25",0.00,0.00,0.00,0.00,0,09/28/2020,10/16/2020,09/29/2020,10/14/2020,Complete,Curb ramps and driveway ramps replacements complete.,Maintenance/Repairs,Medium,Complete,1345-02018,1741694.22410064,648373.22424212,36.11210542,-86.76785423,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6725?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.11210542, -86.76785423)"
6281,,Bridge,Bridge Repairs,John Seigenthaler Pedestrian Bridge Repairs,SHELBY AVE Over 3RD AVE S Between S 1ST ST And 3RD AVE S,"Bridge Repairs - The work will include replacing the missing pavers on the overlook, removal of all vegetation along the sidewalks, ramps, and stairs, removal of locks attached to the bridge rail","To address vandalism reported on the bridge railing, vegetation growth on the bridge deck and approaches","06,19",3220.00,3220.00,877.00,877.00,0,10/03/2019,10/04/2019,10/03/2019,10/03/2019,Complete,Bridge repairs complete,Maintenance/Repairs,Medium,Complete,1239-04119,1740602.30844928,666635.89834873,36.16224797,-86.77203848,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6281?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.16224797, -86.77203848)"
6640,,Sidewalk,Sidewalk Repairs,Woodmont Boulevard,WOODMONT BLVD From HARDING PIKE To WESTCHASE DR,Curb Ramp Replacement - The work will consist of replacing curb ramp at the southeast corner of the intersection with Harding Pike.,To address ADA compliant issues within referenced limits.,24,0.00,0.00,0.00,0.00,0,09/14/2020,10/23/2020,09/29/2020,10/23/2020,Complete,Sidewalk repairs will require one lane closure.,Maintenance/Repairs,Medium,Complete,1345-02018,1718195.1578881,653209.06489595,36.12485638,-86.84754815,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6640?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.12485638, -86.84754815)"
156,,Bikeway,Buffered Bike Lane,Murphy Road,Murphy Road from 46th Avenue North / Sloan Road to Bowling Avenue,New Buffered Bike Lane,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise",24,0.00,0.00,31542.00,31542.00,100,,,01/01/2015,12/31/2015,Complete,New_BBL_BW,New,Medium,Complete,899-03014,1722269.67829117,658973.0691235,36.14077944,-86.83391928,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/156?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.14077944, -86.83391928)"
2274,,Bridge,Maintenance and Repair Jobs,Charlotte Pike/Rosa L Parks Boulevard - Flagged,Charlotte Ave/ Rosa L Parks Boulevard between 8th Ave N and 10th Ave N,"Repair spalls with exposed steel on bottom deck and spall on northwest abutment, Repair cracks and spalls in the asphalt approaches and in the concrete bridge",To address the bridge maintenance recommendations that are identified from TDOT's inspection report and to ensure the safety of the traveling public,19,10836.00,19909.00,8415.56,8415.56,0,07/01/2018,10/30/2018,02/28/2017,03/25/2017,Complete,Bridge deck bracing is complete,Maintenance/Repairs,Medium,Complete,12-04016,1736337.20339264,667295.55556065,36.16395985,-86.78649939,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/2274?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.16395985, -86.78649939)"
194,,Bikeway,Bike Lane,Old Hickory Boulevard,Old Hickory Boulevard from Dickerson Pike to I-65,New Bike Lane,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise","03, 08",0.00,0.00,10748.00,10748.00,100,,,01/01/2015,12/31/2015,Complete,New_BL_BW,New,Medium,Complete,899-03014,1748430.96264207,704852.59551159,36.26739482,-86.74655434,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/194?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.26739482, -86.74655434)"
108,,Bikeway,Shared Bikeway,Dickerson Pike,Dickerson Pike from Long Hollow Pike to Dry Creek Road,New Shared Bikeway,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise",10,0.00,0.00,17610.00,17610.00,100,,,01/01/2015,12/31/2015,Complete,New_Shared_BW,New,Medium,Complete,899-03014,1757431.79100463,720249.87764679,36.30971169,-86.71643394,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/108?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.30971169, -86.71643394)"
6280,,Sidewalk,Sidewalk Repairs,494 PARAGON MILLS RD,494 PARAGON MILLS RD,Miscellaneous Sidewalk Repairs through Public and Service Requests,A small wall/curb was built at the corner of Paragon Mills and Valley Ridge Drive to act as a barrier preventing cars to damage property at 494 Paragon Mills when they lose control on the road - request by CM,26,11476.05,11476.05,10711.72,10711.72,0,09/09/2019,09/25/2019,09/09/2019,09/25/2019,Complete,A small wall/curb was built at the corner of Paragon Mills and Valley Ridge Drive to act as a barrier preventing cars to damage property at 494 Paragon Mills when they lose control on the road - request by CM,Maintenance/Repairs,Medium,Complete,1217-01015,1754804.88537786,639516.43991106,36.08805061,-86.72324826,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6280?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.08805061, -86.72324826)"
183,,Bikeway,Buffered Bike Lane,Stewarts Ferry Pike,Stewarts Ferry Pike from I-40 to Blackwood Drive / Bell Road,New Buffered Bike Lane,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise","13, 14",0.00,0.00,15328.00,15328.00,100,,,01/01/2015,12/31/2015,Complete,New_BBL_BW,New,Medium,Complete,899-03014,1783591.63047894,663543.98337599,36.15469761,-86.62648653,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/183?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.15469761, -86.62648653)"
116,,Bikeway,Bike Lane,Murfreesboro Pike,Murfreesboro Pike from Briley Parkway to Donelson Pike,New Bike Lane,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise",13,0.00,0.00,17668.00,17668.00,100,,,01/01/2014,12/31/2014,Complete,New_BL_BW,New,Medium,Complete,899-03014,1765611.5311642,648171.7058598,36.11201214,-86.68682532,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/116?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.11201214, -86.68682532)"
6257,,Culvert,Culvert Repairs,Curtis Street,CURTIS ST Over VALLEY AVE Between COURTNEY AVE And VALLEY AVE,The work includes the installation of flowable fill backfill over the pipe culvert where the backfill had washed away due to the poor condition of the pipe. The area of the backfill that washed away was adjacent to the roadway along the embankment at the inlet end of the pipe culvert.,To address bridges and culverts identified as requiring immediate repairs,02,0.00,0.00,363.22,363.22,0,02/25/2019,02/25/2019,02/25/2019,02/25/2019,Complete,Installation of the flowable fill backfill is complete.,Maintenance/Repairs,High,Complete,1239-04119,1722903.8971257,680825.75019558,36.20082731,-86.83240025,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6257?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.20082731, -86.83240025)"
5694,PV-SP-18627,Paving,Paving,OAK TIMBER CT - OAK TIMBER DR - CUL-DE-SAC,OAK TIMBER CT - OAK TIMBER DR - CUL-DE-SAC,ROADWAY RESURFACING PAVING PROJECT ON 'OAK TIMBER CT',"BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",33,12750.00,0.00,4011.44,4011.44,0,,,,12/02/2018,Complete,PAVING PROJECT: 'OAK TIMBER CT - OAK TIMBER DR - CUL-DE-SAC',New,Low,Complete,1131-01018,1788342.08333333,631581.41666667,36.06688055,-86.60957875,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/5694?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.06688055, -86.60957875)"
6113,PV-SP-18786,Paving,Paving,OMOHUNDRO PL/VISCO - LEBANON PK - VISCO DR,OMOHUNDRO PL/VISCO - LEBANON PK - VISCO DR,ROADWAY RESURFACING PAVING PROJECT ON 'OMOHUNDRO PL/VISCO',"BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",19,77350.00,0.00,0.00,77350.00,0,2017,2017,08/15/2017,08/17/2017,Complete,PAVING PROJECT: 'OMOHUNDRO PL/VISCO - LEBANON PK - VISCO DR',New,Low,Complete,359-02017,1750141.41666667,663933.41666667,36.15502687,-86.73965555,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6113?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.15502687, -86.73965555)"
361,PV-SUM-10424,Paving,Paving,WESTCHESTER DR - CHADWELL DR - HOLIDAY DR,WESTCHESTER DR - CHADWELL DR - HOLIDAY DR,ROADWAY RESURFACING PAVING PROJECT ON 'WESTCHESTER DR',"BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",08,123250.00,102434.40,117551.82,117551.82,0,,,06/06/2017,09/22/2017,Complete,PAVING PROJECT: 'WESTCHESTER DR - CHADWELL DR - HOLIDAY DR',New,Low,Complete,1061-01018,1751686.85638971,701864.99403184,36.25929097,-86.73536002,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/361?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.25929097, -86.73536002)"
4841,Study No. 812,Bridge,Maintenance and Repair Jobs,Andrew Jackson Pkwy/ Dry Fork Creek - 2016 Group,Andrew Jackson Pkwy/ Dry Fork Creek between Old Hickory Boulevard and Jackson Pass,Embankment stabilization â€“ The work will consist of installing embankment protection from the flowline of Dry Fork Creek to the abutment footing; the stabilization will be along the south side of the channel,To address the recommended maintenance and repairs listed in the 2017 TDOT Flagged Bridges Report,12,163501.21,163501.21,0.00,163501.21,0,01/20/2020,09/18/2020,01/20/2020,09/16/2020,In Progress,Concrete deck crack repairs complete.,Maintenance/Repairs,Medium,Under Construction,1410-11014,1788554.33747523,674599.8605058,36.18504733,-86.60976248,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/4841?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.18504733, -86.60976248)"
169,,Bikeway,Buffered Bike Lane,Cedarmont Drive,Cedarmont Drive from Maxine Drive to Barnes Road,New Buffered Bike Lane,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise",31,0.00,0.00,14562.00,14562.00,100,,,01/01/2014,12/31/2014,Complete,New_BBL_BW,New,Medium,Complete,899-03014,1759375.46296004,620027.35738496,36.03462161,-86.70728446,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/169?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.03462161, -86.70728446)"
160,,Bikeway,Bike Lane,Huntington Parkway,Huntington Parkway from Edmondson Pike to Amalie Drive,New Bike Lane,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise",27,0.00,0.00,2157.00,2157.00,100,,,01/01/2013,12/31/2013,Complete,New_BL_BW,New,Medium,Complete,899-03014,1751379.94558982,625217.20758138,36.04866822,-86.73435366,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/160?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.04866822, -86.73435366)"
172,,Bikeway,Shared Bikeway,Hobson Pike,Hobson Pike from County Line to Murfreesboro Pike,New Shared Bikeway,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise",33,0.00,0.00,61968.00,61968.00,100,,,01/01/2015,12/31/2015,Complete,New_Shared_BW,New,Medium,Complete,899-03014,1799819.43489789,635267.12223525,36.07708896,-86.57089073,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/172?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.07708896, -86.57089073)"
131,,Bikeway,Shared Bikeway,4th Avenue North,4th Avenue North from Harrison Street to CSX RR,New Shared Bikeway,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise",19,0.00,0.00,1391.00,1391.00,100,,,01/01/2015,12/31/2015,Complete,New_Shared_BW,New,Medium,Complete,899-03014,1737328.08014127,669578.42441296,36.17025257,-86.78320468,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/131?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.17025257, -86.78320468)"
190,,Bikeway,Bike Lane,Murfreesboro Pike,Murfreesboro Pike from Transit Avenue to Spence Lane,New Bike Lane,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise","15, 16, 17, 19",0.00,0.00,8574.00,8574.00,100,,,01/01/2014,12/31/2014,Complete,New_BL_BW,New,Medium,Complete,899-03014,1752526.90710414,657916.44029559,36.13855845,-86.73147102,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/190?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.13855845, -86.73147102)"
5369,,Bikeway,Bike Lane,Music Row E From 16th Ave S To Buddy Killen Cir,Music Row E From 16th Ave S To Buddy Killen Cir,New protected bike lane,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise",19,44700.00,44700.00,0.00,44700.00,0,2017,2018,01/01/2017,,Complete,New protected bike lane under construction,New,Medium,Complete,1058-03013,1734504.52639359,661045.92065354,36.14675893,-86.79254128,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/5369?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.14675893, -86.79254128)"
1093,PV-10091,Paving,Paving,HUBBARD ST - CLAIBORNE ST - LEWIS ST,HUBBARD ST - CLAIBORNE ST - LEWIS ST,ROADWAY RESURFACING PAVING PROJECT ON 'HUBBARD ST',"BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",17,28050.00,14731.20,15007.95,15007.95,100,2014,2014,01/01/2014,01/01/2014,Complete,PAVING PROJECT: 'HUBBARD ST - CLAIBORNE ST - LEWIS ST',New,Low,Complete,342-02014,1744027.88314936,660948.0934651,36.14669095,-86.76028007,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/1093?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.14669095, -86.76028007)"
1070,PV-10005,Paving,Paving,BRICK CHURCH LN - TRAIL HOLLOW LN - KNIGHT DR,BRICK CHURCH LN - TRAIL HOLLOW LN - KNIGHT DR,ROADWAY RESURFACING PAVING PROJECT ON 'BRICK CHURCH LN',"BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",03,149600.00,0.00,162652.95,162652.95,100,2014,2014,01/01/2014,01/01/2014,Complete,PAVING PROJECT: 'BRICK CHURCH LN - TRAIL HOLLOW LN - KNIGHT DR',New,Low,Complete,342-02014,1734344.29012161,696544.33795762,36.24426079,-86.79408813,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/1070?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.24426079, -86.79408813)"
5364,,Bikeway,Bike Lane,18th Ave S From Magnolia Blvd To Portland Ave,18th Ave S From Magnolia Blvd To Portland Ave,New buffered bike lane,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise",18,15931.25,15931.25,0.00,15931.25,0,2017,2018,01/01/2017,,Complete,New buffered bike lane under construction,New,Medium,Complete,1058-03013,1733054.21355247,656058.25362161,36.13302587,-86.79731562,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/5364?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.13302587, -86.79731562)"
111,,Bikeway,Buffered Bike Lane,Gleaves Street,Gleaves Street from Alta Loma Drive to Rivergate Parkway,New Buffered Bike Lane,"To provide safer cyclist route, connectivity to businesses and neighborhoods, and a means of exercise",10,0.00,0.00,17664.00,17664.00,100,,,01/01/2015,12/31/2015,Complete,New_BBL_BW,New,Medium,Complete,899-03014,1761333.41206135,715387.14521994,36.29662381,-86.70291098,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/111?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.29662381, -86.70291098)"
3481,,Culvert,Culvert Replacement,5100 Stallworth Drive - Service Request,5100 Stallworth Drive,Risk of Structural Failure:  Culvert Replacement â€“ There is 100% section loss and pipe culvert collapsed threatening to destabilize the roadway. Rehabilitate the existing 76â€x 58â€ CMP,"To address and resolve the following deficiencies:light to moderate surface corrosion with isolated areas of 100% section loss, there is an area of seam separation.",26,288832.00,288832.00,0.00,288832.00,0,07/13/2020,07/31/2020,07/14/2020,07/28/2020,Complete,The rehabilitation of the pipe culvert is complete,Replacement,Medium,Complete,1412-11014,1744808.28093864,629866.16125947,36.06132711,-86.7568225,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/3481?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.06132711, -86.7568225)"
1103,PV-10558,Paving,Paving,FIRE TOWER RD - BUFFALO RD - DEAD END,FIRE TOWER RD - BUFFALO RD - DEAD END,ROADWAY RESURFACING PAVING PROJECT ON 'FIRE TOWER RD',"BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",35,54400.00,47915.25,34371.31,34371.31,100,2014,2014,01/01/2014,01/01/2014,Complete,PAVING PROJECT: 'FIRE TOWER RD - BUFFALO RD - DEAD END',New,Low,Complete,342-02014,1683001.34260729,649109.58512973,36.11265551,-86.96656359,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/1103?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.11265551, -86.96656359)"
5530,PV-18533,Paving,Paving,BASS ST/FORT NEGLEY BLVD - DEAD END - FORT NEGLEY BLVD,BASS ST/FORT NEGLEY BLVD - DEAD END - FORT NEGLEY BLVD,ROADWAY RESURFACING PAVING PROJECT ON 'BASS ST/FORT NEGLEY BLVD',"BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",17,164050.00,230158.00,235001.94,235001.94,0,2014,2014,01/01/2014,01/01/2014,Complete,PAVING PROJECT: 'BASS ST/FORT NEGLEY BLVD - DEAD END - FORT NEGLEY BLVD',New,Low,Complete,342-02014,1740427.27645834,661091.29354167,36.14701365,-86.77248314,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/5530?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.14701365, -86.77248314)"
